carID,price
31106,8498
52908,850
21218,13000
15728,4795
68286,16391
59639,7750
36812,29990
47238,8950
9908,32990
21225,17000
1696,16290
19436,9990
4757,35995
2943,6295
39770,9298
29434,4998
50682,19991
57133,10498
24211,17900
31315,5498
51844,44995
72311,6299
27291,9999
55104,22995
4670,16298
52015,5975
70916,9199
13138,22990
33913,4791
46197,11490
69196,10990
53078,21998
16904,19000
56241,13499
28507,16490
32759,6110
31941,8998
45715,22399
50630,9399
23932,8100
67521,7940
61199,10955
57559,10500
2761,23195
39582,8940
1238,23950
69832,15990
70122,17000
22175,2995
24356,8295
16298,10295
36342,17450
73398,14798
66128,23690
30792,9100
56031,14995
42973,15500
42707,22500
5360,25750
64851,16090
6532,21500
30222,27500
43711,28990
17947,13498
48323,11795
29331,2499
32862,31394
19588,11298
65489,9790
28955,18999
73091,8500
54447,6727
40946,15980
62090,9000
59467,11799
58125,7640
56002,12720
35813,20250
22923,14800
73769,35000
32090,9000
40949,15680
71959,7450
13028,19352
72009,21991
56309,12990
55675,11990
22575,20800
34524,7799
61382,7998
19990,7690
38014,28332
46599,7499
12491,12700
52323,9995
26857,5999
18016,7000
3237,18495
26939,17800
21358,10295
22114,11298
66218,7995
8440,29920
64371,12700
64136,10499
59263,9947
51638,8690
53811,10498
15456,26299
37858,21980
36972,23699
42989,21995
33773,14980
24115,9800
6387,20499
36464,17895
69563,23676
28762,11746
33495,13992
61184,14298
52150,29486
12725,18980
18093,20000
60602,8480
18898,8498
59095,10191
16358,6597
28966,12200
53887,11995
27757,18600
30527,8000
2537,20442
6680,9990
47880,20990
71099,27450
15816,18999
27396,12698
37619,18498
16513,2995
34390,13100
7632,24950
20152,27490
73020,21516
67985,18491
64636,8080
62966,8499
19690,9999
25920,11700
21687,12495
42194,19290
52030,7250
37128,24495
71529,9990
68732,10690
5296,13498
60401,12994
2675,30766
43281,26089
50767,18990
55736,18995
39573,23980
56608,7240
23996,8090
4451,18998
22752,16499
75487,15495
24788,21999
33195,30491
54377,8390
66801,9299
863,26000
22168,11700
69922,22501
24806,20400
74209,21998
43473,27099
35686,43129
16080,19495
50535,6285
42345,12900
21814,18699
51229,6380
71445,19490
13157,5490
46677,26980
65065,7475
62887,10307
2900,39985
5338,18000
35722,15740
68990,10998
26485,12600
4788,24720
61457,9000
19405,16000
3161,31366
8794,21500
63510,13999
6429,31000
59258,17871
56986,17999
46500,7995
26197,8980
22100,16000
65657,9000
67772,17194
47771,9749
46970,10495
36456,13595
57774,9298
73008,12298
6518,38444
61404,17700
8319,13299
464,15498
16192,15440
37637,29480
63785,9000
69958,22490
40149,10190
27271,11220
18690,12800
18363,12000
48493,6798
39227,46995
63995,6995
20085,10195
24225,11450
9221,24970
34022,7995
27372,4995
18919,12791
35761,30500
25849,16950
8267,13083
14704,8199
20458,30000
19265,16000
36469,28650
32459,7495
30246,14000
10970,19780
14832,11995
60217,18496
27867,8800
52934,7990
60944,14995
49784,17798
15657,9990
12362,13119
39748,16499
35503,41495
41999,16300
11514,23702
11829,17490
51070,11750
70527,24495
32348,12500
9135,12600
4580,8695
59462,7000
5201,27990
61055,8799
48252,11250
7391,11495
31683,14995
65816,23890
66474,7995
27268,15500
28995,25520
37755,5999
12326,34950
62410,7491
